emperor_id,顺序,规范名,年号或通称,庙号,生年,卒年,在位起,在位止,父亲,母亲,前任,继任,陵寝,清史稿本纪,清实录入口,故宫人物页,页面状态,备注,皇子序,外号,谥号
QH-E-01,1,爱新觉罗·努尔哈赤,天命,太祖,1559,1626,1616,1626,爱新觉罗·塔克世,喜塔腊氏,,爱新觉罗·皇太极,沈阳福陵,卷1 本纪一 太祖本纪,大清太祖高皇帝实录,https://www.dpm.org.cn/court/lineage/226250.html,骨架已回查,1616 建后金，国号后金而非大清；称号需按时态分记汗与帝；出生死亡细日与不同历法表示待建立时间表达,塔克世长子,,承天广运圣德神功肇纪立极仁孝睿武端毅钦安弘文定业高皇帝
QH-E-02,2,爱新觉罗·皇太极,天聪；崇德,太宗,1592,1643,1626,1643,爱新觉罗·努尔哈赤,叶赫那拉氏（孝慈高皇后）,爱新觉罗·努尔哈赤,爱新觉罗·福临,沈阳昭陵,卷2–3 本纪二至三 太宗本纪,大清太宗文皇帝实录,https://www.dpm.org.cn/court/lineage/226251.html,骨架已回查,1636 改国号大清；天聪汗位与崇德帝位的称号时态需分开,努尔哈赤第八子,,应天兴国弘德彰武宽温仁圣睿孝敬敏昭定隆道显功文皇帝
QH-E-03,3,爱新觉罗·福临,顺治,世祖,1638,1661,1643,1661,爱新觉罗·皇太极,博尔济吉特氏（孝庄文皇后）,爱新觉罗·皇太极,爱新觉罗·玄烨,清东陵孝陵,卷4–5 本纪四至五 世祖本纪,大清世祖章皇帝实录,https://www.dpm.org.cn/court/lineage/226262.html,骨架已回查,1644 入北京；幼帝由多尔衮摄政，亲政后追罪多尔衮；在位年份展示需区分即汗位与入关后纪年口径,皇太极第九子,,体天隆运定统建极英睿钦文显武大德弘功至仁纯孝章皇帝
QH-E-04,4,爱新觉罗·玄烨,康熙,圣祖,1654,1722,1661,1722,爱新觉罗·福临,佟佳氏（孝康章皇后）,爱新觉罗·福临,爱新觉罗·胤禛,清东陵景陵,卷6–8 本纪六至八 圣祖本纪,大清圣祖仁皇帝实录,https://www.dpm.org.cn/court/lineage/226256.html,进入深挖,继承与皇子关系为当前纵切片核心,顺治第三子,,合天弘运文武睿哲恭俭宽裕孝敬诚信功德大成仁皇帝
QH-E-05,5,爱新觉罗·胤禛,雍正,世宗,1678,1735,1722,1735,爱新觉罗·玄烨,乌雅氏（孝恭仁皇后）,爱新觉罗·玄烨,爱新觉罗·弘历,清西陵泰陵,卷9 本纪九 世宗本纪,大清世宗宪皇帝实录,https://www.dpm.org.cn/court/lineage/226259.html,进入深挖,即位争议与遗诏版本必须作为冲突主张处理,康熙第四子,,敬天昌运建中表正文武英明宽仁信毅睿圣大孝至诚宪皇帝
QH-E-06,6,爱新觉罗·弘历,乾隆,高宗,1711,1799,1735,1796,爱新觉罗·胤禛,钮祜禄氏（孝圣宪皇后）,爱新觉罗·胤禛,爱新觉罗·颙琰,清东陵裕陵,卷10–15 本纪十至十五 高宗本纪,大清高宗纯皇帝实录,https://www.dpm.org.cn/court/lineage/226263.html,骨架已回查,1796 禅位后继续训政；在位与实际执政必须拆分,雍正第四子,十全老人,法天隆运至诚先觉体元立极敷文奋武钦明孝慈神圣纯皇帝
QH-E-07,7,爱新觉罗·颙琰,嘉庆,仁宗,1760,1820,1796,1820,爱新觉罗·弘历,魏佳氏（孝仪纯皇后）,爱新觉罗·弘历,爱新觉罗·旻宁,清西陵昌陵,卷16 本纪十六 仁宗本纪,大清仁宗睿皇帝实录,https://www.dpm.org.cn/court/lineage/226238.html,骨架已回查,1796–1799 太上皇训政期需单独表达；原名永琰，即位后避讳改颙琰,乾隆第十五子,,受天兴运敷化绥猷崇文经武孝恭勤俭端敏英哲睿皇帝
QH-E-08,8,爱新觉罗·旻宁,道光,宣宗,1782,1850,1820,1850,爱新觉罗·颙琰,喜塔腊氏（孝淑睿皇后）,爱新觉罗·颙琰,爱新觉罗·奕詝,清西陵慕陵,卷17–19 本纪十七至十九 宣宗本纪,大清宣宗成皇帝实录,https://www.dpm.org.cn/court/lineage/226239.html,骨架已回查,原名绵宁，即位后避讳改旻宁，名称时态需记录,嘉庆第二子,,效天符运立中体正至文圣武智勇仁慈俭勤孝敏宽定成皇帝
QH-E-09,9,爱新觉罗·奕詝,咸丰,文宗,1831,1861,1850,1861,爱新觉罗·旻宁,钮祜禄氏（孝全成皇后）,爱新觉罗·旻宁,爱新觉罗·载淳,清东陵定陵,卷20 本纪二十 文宗本纪,大清文宗显皇帝实录,https://www.dpm.org.cn/court/lineage/226247.html,骨架已回查,太平天国与第二次鸦片战争并行；祺祥改同治及赞襄政务安排属于身后继承事件,道光第四子,,协天翊运执中垂谟懋德振武圣孝渊恭端仁宽敏显皇帝
QH-E-10,10,爱新觉罗·载淳,同治,穆宗,1856,1875,1861,1875,爱新觉罗·奕詝,叶赫那拉氏（孝钦显皇后）,爱新觉罗·奕詝,爱新觉罗·载湉,清东陵惠陵,卷21–22 本纪二十一至二十二 穆宗本纪,大清穆宗毅皇帝实录,https://www.dpm.org.cn/court/lineage/226248.html,骨架已回查,两宫垂帘，1873 亲政；公历年界与故宫页面展示 1862–1874 不同；死因官方记天花，梅毒说待核,咸丰长子,,继天开运受中居正保大定功圣智诚孝信敏恭宽毅皇帝
